h,distance,angle,situation_DirectFreekick,situation_FromCorner,situation_OpenPlay,situation_SetPiece,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot
1.0,0.2734081002051932,0.40757553994935347,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.09228216835440979,1.0975289612206431,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.28236324601620116,0.3338031649963159,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2590309016818717,0.45518972009217035,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.1294179495907366,0.7037584268111912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2004494735714697,0.26888725642436273,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.2880625079190781,0.24871000697927814,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.25616404272393334,0.3488745340238124,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.1574198071940813,0.37755629025873116,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1853996114617764,0.4312571835942569,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.24437676798383456,0.4291485363513388,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.19535861057259468,0.5635122637094004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.20508047141515265,0.4196903112306595,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1555410200273028,0.7281352237611518,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.10770326214085814,0.9437259416002776,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.2577770050139573,0.456179964276582,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2313979086805322,0.4401125645183535,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.28245531748964126,0.2908027201889918,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1194026714748156,0.8960096352980628,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.18645371610867284,0.4391624910745605,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.266326900928089,0.39359878616876437,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.26297527147662264,0.37652347810189435,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.16508480814789292,0.30474935784388246,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.254244003720315,0.4536373677798638,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.22968673881145177,0.4928586361395966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.24080078109158526,0.4025926342245031,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.15339489477781734,0.6897329112596173,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
